Algorithm_sw,Algorithm_key,sw_latency_s,CT_bytes,KEYSIZE_bytes,security_proxy,Algorithm_hw,LUT,BRAM,DSP,MaxFreq_MHz,hw_latency_s,resource_penalty
Kyber512,kyber512,1.83e-05,800.0,800.0,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Kyber512,kyber512,1.83e-05,800.0,800.0,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Kyber512,kyber512,3.75e-05,1150.0,1150.0,1150.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Kyber512,kyber512,2.7e-06,256.0,256.0,256.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Kyber512,kyber512,1.15e-06,897.0,897.0,897.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Kyber768,kyber768,3.75e-05,1150.0,1150.0,1150.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Kyber768,kyber768,3.75e-05,1150.0,1150.0,1150.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Kyber768,kyber768,3.75e-05,1150.0,1150.0,1150.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Kyber768,kyber768,3.75e-05,1150.0,1150.0,1150.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Kyber768,kyber768,3.75e-05,1150.0,1150.0,1150.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Kyber768,kyber768,3.75e-05,1150.0,1150.0,1150.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Kyber768,kyber768,3.75e-05,1150.0,1150.0,1150.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Kyber768,kyber768,3.75e-05,1150.0,1150.0,1150.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Kyber768,kyber768,3.75e-05,1150.0,1150.0,1150.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Kyber768,kyber768,3.75e-05,1150.0,1150.0,1150.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Kyber768,kyber768,2.7e-06,256.0,256.0,256.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Kyber768,kyber768,3.75e-05,1150.0,1150.0,1150.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Kyber768,kyber768,2.7e-06,256.0,256.0,256.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Kyber768,kyber768,0.0001345,2700.0,2700.0,2700.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Kyber768,kyber768,6e-07,128.0,128.0,128.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,picnicl1fs,0.0,0.0,0.0,0.0,Picnic-L1-FS,90037.0,52.5,0.0,125.0,2.4e-07,9.2662
0,picnicl1fs,0.0,0.0,0.0,0.0,Picnic-L1-FS,90535.0,52.5,0.0,125.0,0.029281,9.316
0,picnicl5fs,0.0,0.0,0.0,0.0,Picnic-L5-FS,167530.0,98.5,0.0,125.0,1.17e-06,17.2455
0,qteslapi,0.0,0.0,0.0,0.0,qTESLA-p-I,46084.80141843971,28.561594202898554,15.810606060606062,121.0,7.999999999999999e-07,0.0
0,qteslapiii,0.0,0.0,0.0,0.0,qTESLA-p-III,46084.80141843971,28.561594202898554,15.810606060606062,121.0,1.2100000000000001e-05,0.0
RSA-2048,rsa2048,2.7e-06,256.0,256.0,256.0,0,0.0,0.0,0.0,0.0,0.0,0.0
RSA-2048,rsa2048,2.7e-06,256.0,256.0,256.0,0,0.0,0.0,0.0,0.0,0.0,0.0
RSA-2048,rsa2048,2.7e-06,256.0,256.0,256.0,0,0.0,0.0,0.0,0.0,0.0,0.0
RSA-2048,rsa2048,1.83e-05,800.0,800.0,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0
RSA-2048,rsa2048,2.7e-06,256.0,256.0,256.0,0,0.0,0.0,0.0,0.0,0.0,0.0
RSA-2048,rsa2048,3.75e-05,1150.0,1150.0,1150.0,0,0.0,0.0,0.0,0.0,0.0,0.0
RSA-2048,rsa2048,2.7e-06,256.0,256.0,256.0,0,0.0,0.0,0.0,0.0,0.0,0.0
RSA-2048,rsa2048,2.7e-06,256.0,256.0,256.0,0,0.0,0.0,0.0,0.0,0.0,0.0
RSA-2048,rsa2048,2.7e-06,256.0,256.0,256.0,0,0.0,0.0,0.0,0.0,0.0,0.0
RSA-2048,rsa2048,1.15e-06,897.0,897.0,897.0,0,0.0,0.0,0.0,0.0,0.0,0.0
RSA-2048,rsa2048,1.15e-06,897.0,897.0,897.0,0,0.0,0.0,0.0,0.0,0.0,0.0
RSA-2048,rsa2048,0.0001345,2700.0,2700.0,2700.0,0,0.0,0.0,0.0,0.0,0.0,0.0
RSA-2048,rsa2048,6e-07,128.0,128.0,128.0,0,0.0,0.0,0.0,0.0,0.0,0.0
SPHINCS+,sphincs,2.7e-06,41000.0,41000.0,41000.0,0,0.0,0.0,0.0,0.0,0.0,0.0
SPHINCS+,sphincs,2.7e-06,41000.0,41000.0,41000.0,0,0.0,0.0,0.0,0.0,0.0,0.0
SPHINCS+,sphincs,2.7e-06,41000.0,41000.0,41000.0,0,0.0,0.0,0.0,0.0,0.0,0.0
SPHINCS+,sphincs,2.7e-06,41000.0,41000.0,41000.0,0,0.0,0.0,0.0,0.0,0.0,0.0
SPHINCS+,sphincs,2.7e-06,41000.0,41000.0,41000.0,0,0.0,0.0,0.0,0.0,0.0,0.0
SPHINCS+,sphincs,2.7e-06,41000.0,41000.0,41000.0,0,0.0,0.0,0.0,0.0,0.0,0.0
SPHINCS+,sphincs,2.7e-06,41000.0,41000.0,41000.0,0,0.0,0.0,0.0,0.0,0.0,0.0
SPHINCS+,sphincs,2.7e-06,41000.0,41000.0,41000.0,0,0.0,0.0,0.0,0.0,0.0,0.0
SPHINCS+,sphincs,2.7e-06,41000.0,41000.0,41000.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,sphincs128frobust,0.0,0.0,0.0,0.0,SPHINCS+-128f-robust,48930.0,15.5,1.0,375.0,-6.7699999999999996e-06,4.9715
0,sphincs128frobust,0.0,0.0,0.0,0.0,SPHINCS+-128f-robust,48930.0,15.5,1.0,2626.5,0.000243,4.9715
0,sphincs128fsimple,0.0,0.0,0.0,0.0,SPHINCS+-128f-simple,47991.0,11.5,1.0,375.0,-6.84e-06,4.8576
0,sphincs128fsimple,0.0,0.0,0.0,0.0,SPHINCS+-128f-simple,47991.0,11.5,1.0,2626.5,0.000133,4.8576
0,sphincs128srobust,0.0,0.0,0.0,0.0,SPHINCS+-128s-robust,49146.0,15.5,0.0,375.0,-6.89e-06,4.9921
0,sphincs128srobust,0.0,0.0,0.0,0.0,SPHINCS+-128s-robust,49146.0,15.5,0.0,2626.5,0.000173,4.9921
0,sphincs128ssimple,0.0,0.0,0.0,0.0,SPHINCS+-128s-simple,48231.0,11.5,0.0,375.0,-6.93e-06,4.8806
0,sphincs128ssimple,0.0,0.0,0.0,0.0,SPHINCS+-128s-simple,48231.0,11.5,0.0,2626.5,8.3e-05,4.8806
0,sphincs192frobust,0.0,0.0,0.0,0.0,SPHINCS+-192f-robust,47227.0,22.5,1.0,375.0,-6.69e-06,4.8362
0,sphincs192frobust,0.0,0.0,0.0,0.0,SPHINCS+-192f-robust,47277.0,22.5,1.0,2626.5,0.000323,4.8412
0,sphincs192fsimple,0.0,0.0,0.0,0.0,SPHINCS+-192f-simple,48398.0,17.0,1.0,375.0,-6.81e-06,4.9258
0,sphincs192fsimple,0.0,0.0,0.0,0.0,SPHINCS+-192f-simple,48398.0,17.0,1.0,2626.5,0.000333,4.9258
0,sphincs192srobust,0.0,0.0,0.0,0.0,SPHINCS+-192s-robust,50064.0,22.5,0.0,375.0,-6.85e-06,5.1189
0,sphincs192srobust,0.0,0.0,0.0,0.0,SPHINCS+-192s-robust,50064.0,22.5,0.0,2626.5,0.000213,5.1189
0,sphincs192ssimple,0.0,0.0,0.0,0.0,SPHINCS+-192s-simple,48725.0,17.0,0.0,375.0,-6.9e-06,4.9575
0,sphincs192ssimple,0.0,0.0,0.0,0.0,SPHINCS+-192s-simple,48725.0,17.0,0.0,2626.5,0.000113,4.9575
0,sphincs256,0.0,0.0,0.0,0.0,SPHINCS-256,19067.0,36.0,3.0,525.0,7e-08,2.0897
0,sphincs256frobust,0.0,0.0,0.0,0.0,SPHINCS+-256f-robust,50341.0,30.0,1.0,375.0,-6.66e-06,5.1851
0,sphincs256frobust,0.0,0.0,0.0,0.0,SPHINCS+-256f-robust,50341.0,30.0,1.0,2626.5,0.000323,5.1851
0,sphincs256fsimple,0.0,0.0,0.0,0.0,SPHINCS+-256f-simple,51009.0,22.5,1.0,375.0,-6.79e-06,5.2144
0,sphincs256fsimple,0.0,0.0,0.0,0.0,SPHINCS+-256f-simple,51009.0,22.5,1.0,2626.5,0.000333,5.2144
0,sphincs256srobust,0.0,0.0,0.0,0.0,SPHINCS+-256s-robust,50070.0,30.0,1.0,375.0,-6.8e-06,5.158
0,sphincs256srobust,0.0,0.0,0.0,0.0,SPHINCS+-256s-robust,50000.0,30.0,0.0,2626.5,0.000213,5.15
0,sphincs256ssimple,0.0,0.0,0.0,0.0,SPHINCS+-256s-simple,51130.0,22.5,0.0,375.0,-6.86e-06,5.2255
0,sphincs256ssimple,0.0,0.0,0.0,0.0,SPHINCS+-256s-simple,51130.0,22.5,0.0,2626.5,0.000113,5.2255
0,xmss216sha256,0.0,0.0,0.0,0.0,XMSS-2^16 SHA-256,6500.0,145.0,0.0,93.1,5.7999999999999995e-06,1.375
